ASX code,Company name,Security type,ISIN code
AEX,ACCLAIM EXPLORATION,ORDINARY FULLY PAID,AU000000AEX7
AEXCD,ACCLAIM EXPLORATION,"ORDINARY PARTLY PAID TO 8C, 2C UNPAID",AU0000AEXCD5
AEXAI,ACCLAIM EXPLORATION,OPTION EXPIRING 31-DEC-2013 EX 5C,AU0000AEXAI8
AEXAK,ACCLAIM EXPLORATION,OPTION EXPIRING 28-FEB-2014 EX 2C,AU0000AEXAK4
ACN,ACER ENERGY LIMITED,ORDINARY FULLY PAID,AU000000ACN2
ACNN,ACER ENERGY LIMITED,ORDINARY FULLY PAID DEFERRED,AU00000ACNN0
ACNAI,ACER ENERGY LIMITED,OPTION EXPIRING 30-JUN-2014 EX VARIOUS PRICES,AU0000ACNAI3
ACNAK,ACER ENERGY LIMITED,OPTION EXPIRING VARIOUS DATES EX 24C,AU0000ACNAK9
ACNAZ,ACER ENERGY LIMITED,OPTION EXPIRING VARIOUS DATES EX 36C,AU0000ACNAZ7
ACR,ACRUX LIMITED,ORDINARY FULLY PAID,AU000000ACR3
ACRAI,ACRUX LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACRAI4
ACW,ACTINOGEN LIMITED,ORDINARY FULLY PAID,AU000000ACW3
ACWN,ACTINOGEN LIMITED,ORDINARY FULLY PAID DEFERRED,AU00000ACWN1
ACWO,ACTINOGEN LIMITED,OPTION EXPIRING 01-AUG-2012,AU00000ACWO9
ACWOA,ACTINOGEN LIMITED,OPTION EXPIRING 30-SEP-2015,AU0000ACWOA2
AIV,ACTIVEX LIMITED,ORDINARY FULLY PAID,AU000000AIV2
AIVN,ACTIVEX LIMITED,ORDINARY FULLY PAID DEFERRED,AU00000AIVN0
AIVO,ACTIVEX LIMITED,OPTION EXPIRING 31-JUL-2012,AU00000AIVO8
AIVAI,ACTIVEX LIMITED,OPTION EXPIRING 31-AUG-2012 EX 25C,AU0000AIVAI3
AIVAM,ACTIVEX LIMITED,OPTION EXPIRING 31-DEC-2013 EX 12C,AU0000AIVAM5
AIVAK,ACTIVEX LIMITED,OPTION EXPIRING 30-NOV-2014 EX 15C,AU0000AIVAK9
AIVAQ,ACTIVEX LIMITED,OPTION EXPIRING 18-DEC-2011 EX 25C,AU0000AIVAQ6
AIVAU,ACTIVEX LIMITED,OPTION EXPIRING 30-NOV-2013 EX 15C,AU0000AIVAU8
ACU,ACUVAX LIMITED,ORDINARY FULLY PAID,AU000000ACU7
ACUNA,ACUVAX LIMITED,ORDINARY FULLY PAID DEFERRED,AU0000ACUNA8
ACUAI,ACUVAX LIMITED,OPTION EXPIRING 19-AUG-2013 EX 5C,AU0000ACUAI8
ACUAK,ACUVAX LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACUAK4
ADA,ADACEL TECHNOLOGIES,ORDINARY FULLY PAID,AU000000ADA7
ADAAM,ADACEL TECHNOLOGIES,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADAAM0
ADU,ADAMUS RESOURCES,ORDINARY FULLY PAID,AU000000ADU5
ADUNA,ADAMUS RESOURCES,ORDINARY FULLY PAID DEFERRED,AU0000ADUNA6
ADURA,ADAMUS RESOURCES,RIGHTS - APPLICATIONS CLOSE 14-OCT-2010,AU0000ADURA7
ADUAI,ADAMUS RESOURCES,PERFORMANCE SHARE RIGHTS EXPIRING 30-DEC-2015,AU0000ADUAI6
ADUAO,ADAMUS RESOURCES,OPTION EXPIRING 31-JAN-2012 EX 30C,AU0000ADUAO4
ADUAU,ADAMUS RESOURCES,OPTION EXPIRING 30-JUN-2012 EX 50C,AU0000ADUAU1
ADD,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID,AU000000ADD1
ADDN,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID DEFERRED,AU00000ADDN9
ADDAI,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2014 EX 4C,AU0000ADDAI2
ADDAK,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2014 CLASS B EX 4C,AU0000ADDAK8
ADDAM,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2015 CLASS C EX 4.5C,AU0000ADDAM4
ADDAQ,ADAVALE RESOURCE LTD,OPTION EXPIRING 30-NOV-2011 EX 20C,AU0000ADDAQ5
ADDAS,ADAVALE RESOURCE LTD,OPTION EXPIRING 01-DEC-2011 EX 20C,AU0000ADDAS1
ADDAU,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2014 EX 4C,AU0000ADDAU7
ADDAY,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2016 CLASS D EX 5C,AU0000ADDAY9
ADDAZ,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2014 EX 4C,AU0000ADDAZ6
AAU,ADCORP AUSTRALIA,ORDINARY FULLY PAID,AU000000AAU1
AAUAK,ADCORP AUSTRALIA,OPTION EXPIRING VARIOUS DATES EMP. EX VAR. PRICES,AU0000AAUAK8
AAO,ADDEPT SOLUTIONS LTD,ORDINARY FULLY PAID,AU000000AAO4
AAODA,ADDEPT SOLUTIONS LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AAODA6
AAODB,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 19-APR-2013 DEFERRED SETTLEMENT,AU0000AAODB4
AAOO,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 19-APR-2013,AU00000AAOO0
AAOAM,ADDEPT SOLUTIONS LTD,ORDINARY FULLY PAID RESTRICTED,AU0000AAOAM7
AAOAA,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 13-MAR-2012 EX 95C,AU0000AAOAA2
AAOAB,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 31-OCT-2012 EX 60C,AU0000AAOAB0
AAOAC,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 31-DEC-2012 EX 55C,AU0000AAOAC8
AAOAK,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 01-JUN-2014 EX $1.30,AU0000AAOAK1
AAOAQ,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 18-JUL-2014 EX $1.45,AU0000AAOAQ8
AAOAI,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 31-DEC-2011 EX 65C,AU0000AAOAI5
AAOAO,ADDEPT SOLUTIONS LTD,OPTION EXPIRING 18-JUL-2014 RESTRICTED EX $1.45,AU0000AAOAO3
ABN,ADEFFECTIVE LTD,ORDINARY FULLY PAID,AU000000ABN4
ABNAO,ADEFFECTIVE LTD,OPTION EXPIRING 30-APR-2015 EX 0.2C,AU0000ABNAO3
ABNAU,ADEFFECTIVE LTD,OPTION EXPIRING 30-NOV-2011 EX 2C,AU0000ABNAU0
ABNAW,ADEFFECTIVE LTD,OPTION EXPIRING 30-NOV-2011 EX 4C,AU0000ABNAW6
ABNAY,ADEFFECTIVE LTD,OPTION EXPIRING 30-NOV-2011 EX 3C,AU0000ABNAY2
ABNAI,ADEFFECTIVE LTD,12% CONVERTIBLE NOTE MATURING 06-JUN-2011,AU0000ABNAI5
ABC,ADELAIDE BRIGHTON,ORDINARY FULLY PAID,AU000000ABC7
ABCAK,ADELAIDE BRIGHTON,AWARD EXPIRING VARIOUS DATES EX NIL PRICE,AU0000ABCAK4
ADE,ADELAIDE ENERGY,ORDINARY FULLY PAID,AU000000ADE9
ADENA,ADELAIDE ENERGY,ORDINARY FULLY PAID DEFERRED,AU0000ADENA0
ADEAU,ADELAIDE ENERGY,OPTION EXPIRING 31-JAN-2013 A CLASS EX 18C,AU0000ADEAU5
ADEAI,ADELAIDE ENERGY,OPTION EXPIRING 31-JAN-2012 EX 20C,AU0000ADEAI0
ADEAK,ADELAIDE ENERGY,OPTION EXPIRING 31-DEC-2013 EX 15C,AU0000ADEAK6
AYT,ADELAIDE MANAGED,UNITS FULLY PAID,AU000000AYT3
ADN,ADELAIDE RESOURCES,ORDINARY FULLY PAID,AU000000ADN0
ADNAM,ADELAIDE RESOURCES,OPTION EXPIRING 19-DEC-2012 EX 35C,AU0000ADNAM3
ADNAO,ADELAIDE RESOURCES,OPTION EXPIRING 30-MAR-2013 EX 30C,AU0000ADNAO9
ADNAS,ADELAIDE RESOURCES,PERFORMANCE RIGHTS,AU0000ADNAS0
ADIDB,ADELPHI ENERGY LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ADIDB0
ADQ,ADG GLOBAL SUPPLY.,ORDINARY FULLY PAID,AU000000ADQ3
ADQNA,ADG GLOBAL SUPPLY.,ORDINARY FULLY PAID DEFERRED,AU0000ADQNA4
ADQO,ADG GLOBAL SUPPLY.,OPTION EXPIRING 31-MAR-2011,AU00000ADQO9
ADQAI,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2013 EX 10C,AU0000ADQAI4
ADQAK,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2014 EX 15C,AU0000ADQAK0
ADQAM,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2014 EX 11C,AU0000ADQAM6
ABY,ADITYA BIRLA,ORDINARY FULLY PAID,AU000000ABY1
ADY,ADMIRALTY RESOURCES.,ORDINARY FULLY PAID,AU000000ADY7
ADYDA,ADMIRALTY RESOURCES.,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ADYDA9
ABV,ADV BRAKING TECH LTD,ORDINARY FULLY PAID,AU000000ABV7
ABVYY,ADV BRAKING TECH LTD,CONDITIONAL PLACEMENT,AU0000ABVYY5
ABVAI,ADV BRAKING TECH LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ABVAI8
AMT,ADV SURG DSGN & MNFT,ORDINARY FULLY PAID,AU000000AMT8
AMTAM,ADV SURG DSGN & MNFT,OPTION EXPIRING 30-JUN-2012 EX 50C,AU0000AMTAM1
AMTAO,ADV SURG DSGN & MNFT,OPTION EXPIRING 16-NOV-2013 EX 60C,AU0000AMTAO7
AMTAQ,ADV SURG DSGN & MNFT,OPTION EXPIRING 05-DEC-2012 EX 50C,AU0000AMTAQ2
AMTAU,ADV SURG DSGN & MNFT,OPTION EXPIRING 30-JUN-2013 EX 60C,AU0000AMTAU4
AVD,ADVANCE ENERGY,ORDINARY FULLY PAID,AU000000AVD3
AVDOA,ADVANCE ENERGY,OPTION EXPIRING 31-AUG-2012,AU0000AVDOA2
AVDG,ADVANCE ENERGY,9.5% UNSEC.RED CONV NOTE MATURING 04-JAN-2015,AU00000AVDG5
AVDAW,ADVANCE ENERGY,CONVERTIBLE PREF SHARES,AU0000AVDAW5
AVDN,ADVANCE ENERGY,ORDINARY FULLY PAID DEFERRED,AU00000AVDN1
AVDO,ADVANCE ENERGY,OPTION EXPIRING 31-AUG-2012 DEFERRED,AU00000AVDO9
AES,ADVANCED ENERGY,ORDINARY FULLY PAID,AU000000AES7
AESAI,ADVANCED ENERGY,OPTION EXPIRING 10-OCT-2010 CLASS A EX 2C,AU0000AESAI8
AESAK,ADVANCED ENERGY,OPTION EXPIRING 10-APR-2009 CLASS B EX 1C,AU0000AESAK4
ACE,ADVANCED ENGINE,ORDINARY FULLY PAID,AU000000ACE1
ACEAA,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 3.6C,AU0000ACEAA9
ACEAB,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 3.7C,AU0000ACEAB7
ACEAC,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 7.1C,AU0000ACEAC5
ACEAD,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 6.2C,AU0000ACEAD3
ACEAE,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.65C,AU0000ACEAE1
ACEAG,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.3C,AU0000ACEAG6
ACEAI,ADVANCED ENGINE,OPTION EXPIRING 31-DEC-2010 EX 20C,AU0000ACEAI2
ACEAK,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.4C,AU0000ACEAK8
ACEAM,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 6C,AU0000ACEAM4
ACEAO,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.5C,AU0000ACEAO0
ACEAQ,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5C,AU0000ACEAQ5
ACEAS,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.9C,AU0000ACEAS1
ACEAU,ADVANCED ENGINE,OPTION EXPIRING 31-DEC-2010 EX 18C,AU0000ACEAU7
ACEAW,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 4.4C,AU0000ACEAW3
ACEAY,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 4.7C,AU0000ACEAY9
ACEAZ,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 4.3C,AU0000ACEAZ6
ANM,ADVANCED MAGNESIUM,ORDINARY FULLY PAID,AU000000ANM1
ANMAI,ADVANCED MAGNESIUM,OPTION EXPIRING 16-AUG-2013 EX 10C,AU0000ANMAI2
ASW,ADVANCED SHARE LTD,ORDINARY FULLY PAID,AU000000ASW9
ADX,ADX ENERGY LTD,ORDINARY FULLY PAID,AU000000ADX9
ADXAI,ADX ENERGY LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADXAI0
AED,AED OIL LIMITED,ORDINARY FULLY PAID,AU000000AED9
AEDAI,AED OIL LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AEDAI0
AEDAK,AED OIL LIMITED,CONVERTIBLE NOTE MATURING VARIOUS DATES,AU0000AEDAK6
AEI,AERIS ENVIRONMENTAL,ORDINARY FULLY PAID,AU000000AEI8
AEIAB,AERIS ENVIRONMENTAL,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AEIAB4
AEIAC,AERIS ENVIRONMENTAL,OPTION EXPIRING 28-DEC-2012 EX 52C,AU0000AEIAC2
AEIAD,AERIS ENVIRONMENTAL,OPTION EXPIRING 28-DEC-2012 EX 50C,AU0000AEIAD0
AEIAK,AERIS ENVIRONMENTAL,OPTION EXPIRING 01-SEP-2013 EX VARIOUS PRICES,AU0000AEIAK5
AEIAZ,AERIS ENVIRONMENTAL,OPTION EXPIRING 30-JUN-2012 EX 20C,AU0000AEIAZ3
AEIAQ,AERIS ENVIRONMENTAL,10% RED.CONV.NOTE MATURING 31-DEC-2012,AU0000AEIAQ2
AFR,AFRICAN ENERGY RES,CHESS DEPOSITARY INTERESTS 1:1,AU000000AFR6
AFRXX,AFRICAN ENERGY RES,INSTITUTIONAL PLACEMENT,AU0000AFRXX8
AFRAM,AFRICAN ENERGY RES,OPTION EXPIRING 31-DEC-2012 EX $1.03,AU0000AFRAM9
AFRAO,AFRICAN ENERGY RES,OPTION EXPIRING 30-JUN-2012 EX 31.25C,
AFRAS,AFRICAN ENERGY RES,OPTION EXPIRING 30-JUN-2012 EX 40C,
AFRAU,AFRICAN ENERGY RES,OPTION EXPIRING 31-DEC-2013 EX VARIOUS PRICES,AU0000AFRAU2
AFRAY,AFRICAN ENERGY RES,OPTION EXPIRING 25-JUL-2014 EX 62.5C,AU0000AFRAY4
AFRAI,AFRICAN ENERGY RES,OPTION EXPIRING 30-JUN-2012 EX 8.5C,
AFRAK,AFRICAN ENERGY RES,OPTION EXPIRING 31-DEC-2013 EX 70C,AU0000AFRAK3
AFRAQ,AFRICAN ENERGY RES,OPTION EXPIRING 31-DEC-2013 EX 12.5C,AU0000AFRAQ0
AKI,AFRICAN IRON LIMITED,ORDINARY FULLY PAID,AU000000AKI5
AKIDA,AFRICAN IRON LIMITED,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AKIDA7
AKIDB,AFRICAN IRON LIMITED,OPTION EXPIRING 01-DEC-2013 DEFERRED SETTLEMENT,AU0000AKIDB5
AKIOA,AFRICAN IRON LIMITED,OPTION EXPIRING 01-DEC-2013,AU0000AKIOA4
AKIAI,AFRICAN IRON LIMITED,ORDINARY FULLY PAID RESTRICTED,AU0000AKIAI6
AKIAO,AFRICAN IRON LIMITED,OPTION EXPIRING 31-DEC-2012 EX 30C,AU0000AKIAO4
AKIAK,AFRICAN IRON LIMITED,OPTION EXPIRING 31-DEC-2012 RESTRICTED EX 30C,AU0000AKIAK2
AKIAM,AFRICAN IRON LIMITED,OPTION EXPIRING 31-DEC-2012 RESTRICTED EX 30C,AU0000AKIAM8
AFT,AFT CORPORATION,ORDINARY FULLY PAID,AU000000AFT2
AGX,AGENIX LIMITED,ORDINARY FULLY PAID,AU000000AGX2
AGXN,AGENIX LIMITED,ORDINARY FULLY PAID DEFERRED,AU00000AGXN0
AGXO,AGENIX LIMITED,OPTION EXPIRING 30-JUN-2011,AU00000AGXO8
AGXOA,AGENIX LIMITED,OPTION EXPIRING 30-JUN-2012,AU0000AGXOA1
AGXAK,AGENIX LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AGXAK9
AGK,AGL ENERGY LIMITED,ORDINARY FULLY PAID,AU000000AGK9
AG1,AGL OPTION/BASKET,AGL - OPTIONS OVER BASKET,AU000000AG10
AG2,AGL OPTION/BASKET.,AGL - OPTIONS OVER BASKET,AU000000AG28
AAE,AGRI ENERGY LIMITED,ORDINARY FULLY PAID,AU000000AAE5
AAEDA,AGRI ENERGY LIMITED,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AAEDA7
AGJ,AGRICULTURAL LAND,ORDINARY UNITS FULLY PAID,AU000000AGJ1
AGR,AGUIA RES LTD,ORDINARY FULLY PAID,AU000000AGR4
AGRAC,AGUIA RES LTD,PERFORMANCE SHARES,AU0000AGRAC8
AGRAU,AGUIA RES LTD,PERFORMANCE SHARES,AU0000AGRAU0
AGRAD,AGUIA RES LTD,ORDINARY FULLY PAID RESTRICTED,AU0000AGRAD6
AGRAB,AGUIA RES LTD,OPTION EXPIRING 31-MAR-2014 EX 60C,AU0000AGRAB0
AGRAE,AGUIA RES LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AGRAE4
AGRAI,AGUIA RES LTD,OPTION EXPIRING 30-NOV-2013 EX 60C,AU0000AGRAI5
AGRAK,AGUIA RES LTD,OPTION EXPIRING 30-NOV-2014 EX 70C,AU0000AGRAK1
AGRAM,AGUIA RES LTD,OPTION EXPIRING 31-DEC-2011 EX 35C,AU0000AGRAM7
AGRAO,AGUIA RES LTD,OPTION EXPIRING 30-SEP-2012 EX 40C,AU0000AGRAO3
AGRAQ,AGUIA RES LTD,OPTION EXPIRING 31-DEC-2011 EX 25C,AU0000AGRAQ8
AGRAS,AGUIA RES LTD,OPTION EXPIRING 31-JAN-2012 EX 25C,AU0000AGRAS4
AGRAZ,AGUIA RES LTD,OPTION EXPIRING 30-SEP-2013 EX 50C,AU0000AGRAZ9
AGRAA,AGUIA RES LTD,OPTION EXPIRING 30-JUN-2012 EX 15C,AU0000AGRAA2
AGRAW,AGUIA RES LTD,OPTION EXPIRING 31-DEC-2013 EX 30C,AU0000AGRAW6
AGRAY,AGUIA RES LTD,OPTION EXPIRING 30-JUN-2013 EX 20C,AU0000AGRAY2
AHC,AHC LIMITED,ORDINARY FULLY PAID,AU000000AHC4
AHCAI,AHC LIMITED,ORDINARY FULLY PAID FOUNDER,AU0000AHCAI5
AHCAK,AHC LIMITED,B ORDINARY FULLY PAID,AU0000AHCAK1
AHCAO,AHC LIMITED,50C ORDINARY PAID TO 25C FORFEITED,AU0000AHCAO3
ENY,AII200ENERGY,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000ENY8
ENYBSK,AII200ENERGY,AII S&P/ASX 200 ENERGY ETF FUND BASKET,AU000ENYBSK0
FIN,AII200FINANCIALS,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000FIN8
FINBSK,AII200FINANCIALS,AII S&P/ASX 200 FINANCIALS ETF FUND BASKET,AU000FINBSK0
FIX,AII200FINXAREIT,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000FIX7
FIXBSK,AII200FINXAREIT,AII S&P/ASX200 FINANCIALS X-A-REIT ETF FUND BASKET,AU000FIXBSK9
IDD,AII200INDUSTRIALS,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000IDD4
IDDBSK,AII200INDUSTRIALS,AII S&P/ASX 200 INDUSTRIALS ETF FUND BASKET,AU000IDDBSK6
RSR,AII200RESOURCES,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000RSR3
RSRBSK,AII200RESOURCES,AII S&P/ASX 200 RESOURCES ETF FUND BASKET,AU000RSRBSK5
MAM,AII300METALS&MINING,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000MAM3
MAMBSK,AII300METALS&MINING,AII S&P/ASX 300 METALS & MINING ETF FUND BASKET,AU000MAMBSK5
AGI,AINSWORTH GAME TECH.,ORDINARY FULLY PAID,AU000000AGI3
AGIG,AINSWORTH GAME TECH.,10% UNSECURED CONVERTIBLE NTE MAT.31-DEC-2011,AU00000AGIG5
AGIAI,AINSWORTH GAME TECH.,OPTION EXPIRING 25-NOV-2007 EX $1.15,AU0000AGIAI4
AHJ,AIR CHANGE INT LTD,ORDINARY FULLY PAID,AU000000AHJ9
